Acauã,2200053,0,0
Agricolândia,2200103,0,0
Água Branca,2200202,13,0
Alagoinha do Piauí,2200251,0,0
Alegrete do Piauí,2200277,0,0
Alto Longá,2200301,0,0
Altos,2200400,9,0
Alvorada do Gurguéia,2200459,1,0
Amarante,2200509,3,0
Angical do Piauí,2200608,3,0
Anísio de Abreu,2200707,7,0
Antônio Almeida,2200806,0,0
Aroazes,2200905,1,0
Aroeiras do Itaim,2200954,0,0
Arraial,2201002,0,0
Assunção do Piauí,2201051,0,0
Avelino Lopes,2201101,0,0
Baixa Grande do Ribeiro,2201150,1,1
Barra D'Alcântara,2201176,0,0
Barras,2201200,6,0
Barreiras do Piauí,2201309,0,0
Barro Duro,2201408,0,0
Batalha,2201507,5,0
Bela Vista do Piauí,2201556,0,0
Belém do Piauí,2201572,0,0
Beneditinos,2201606,1,0
Bertolínia,2201705,1,0
Betânia do Piauí,2201739,1,0
Boa Hora,2201770,1,0
Bocaina,2201804,0,0
Bom Jesus,2201903,7,0
Bom Princípio do Piauí,2201919,1,1
Bonfim do Piauí,2201929,1,0
Boqueirão do Piauí,2201945,0,0
Brasileira,2201960,0,0
Brejo do Piauí,2201988,0,0
Buriti dos Lopes,2202000,2,1
Buriti dos Montes,2202026,0,0
Cabeceiras do Piauí,2202059,0,0
Cajazeiras do Piauí,2202075,0,0
Cajueiro da Praia,2202083,0,0
Caldeirão Grande do Piauí,2202091,0,0
Campinas do Piauí,2202109,0,0
Campo Alegre do Fidalgo,2202117,0,0
Campo Grande do Piauí,2202133,0,0
Campo Largo do Piauí,2202174,0,0
Campo Maior,2202208,17,0
Canavieira,2202251,0,0
Canto do Buriti,2202307,2,1
Capitão de Campos,2202406,0,0
Capitão Gervásio Oliveira,2202455,0,0
Caracol,2202505,1,0
Caraúbas do Piauí,2202539,0,0
Caridade do Piauí,2202554,0,0
Castelo do Piauí,2202604,4,0
Caxingó,2202653,0,0
Cocal,2202703,1,1
Cocal de Telha,2202711,0,0
Cocal dos Alves,2202729,1,0
Coivaras,2202737,1,0
Colônia do Gurguéia,2202752,3,1
Colônia do Piauí,2202778,1,0
Conceição do Canindé,2202802,0,0
Coronel José Dias,2202851,0,0
Corrente,2202901,0,0
Cristalândia do Piauí,2203008,0,0
Cristino Castro,2203107,0,0
Curimatá,2203206,0,0
Currais,2203230,1,0
Curralinhos,2203255,0,0
Curral Novo do Piauí,2203271,0,0
Demerval Lobão,2203305,6,0
Dirceu Arcoverde,2203354,0,0
Dom Expedito Lopes,2203404,0,0
Domingos Mourão,2203420,0,0
Dom Inocêncio,2203453,0,0
Elesbão Veloso,2203503,3,0
Eliseu Martins,2203602,0,0
Esperantina,2203701,29,0
Fartura do Piauí,2203750,1,0
Flores do Piauí,2203800,0,0
Floresta do Piauí,2203859,0,0
Floriano,2203909,15,0
Francinópolis,2204006,2,0
Francisco Ayres,2204105,1,0
Francisco Macedo,2204154,0,0
Francisco Santos,2204204,1,0
Fronteiras,2204303,0,0
Geminiano,2204352,0,0
Gilbués,2204402,0,0
Guadalupe,2204501,0,0
Guaribas,2204550,0,0
Hugo Napoleão,2204600,0,0
Ilha Grande,2204659,1,0
Inhuma,2204709,1,0
Ipiranga do Piauí,2204808,0,0
Isaías Coelho,2204907,0,0
Itainópolis,2205003,0,0
Itaueira,2205102,1,1
Jacobina do Piauí,2205151,0,0
Jaicós,2205201,0,0
Jardim do Mulato,2205250,0,0
Jatobá do Piauí,2205276,0,0
Jerumenha,2205300,0,0
João Costa,2205359,0,0
Joaquim Pires,2205409,0,0
Joca Marques,2205458,0,0
José de Freitas,2205508,2,0
Juazeiro do Piauí,2205516,0,0
Júlio Borges,2205524,2,1
Jurema,2205532,0,0
Lagoinha do Piauí,2205540,0,0
Lagoa Alegre,2205557,0,0
Lagoa do Barro do Piauí,2205565,1,0
Lagoa de São Francisco,2205573,0,0
Lagoa do Piauí,2205581,0,0
Lagoa do Sítio,2205599,0,0
Landri Sales,2205607,0,0
Luís Correia,2205706,3,0
Luzilândia,2205805,2,1
Madeiro,2205854,0,0
Manoel Emídio,2205904,1,0
Marcolândia,2205953,0,0
Marcos Parente,2206001,2,0
Massapê do Piauí,2206050,0,0
Matias Olímpio,2206100,0,0
Miguel Alves,2206209,22,0
Miguel Leão,2206308,0,0
Milton Brandão,2206357,0,0
Monsenhor Gil,2206407,0,0
Monsenhor Hipólito,2206506,2,0
Monte Alegre do Piauí,2206605,0,0
Morro Cabeça no Tempo,2206654,1,0
Morro do Chapéu do Piauí,2206670,0,0
Murici dos Portelas,2206696,0,0
Nazaré do Piauí,2206704,0,0
Nazária,2206720,2,0
Nossa Senhora de Nazaré,2206753,0,0
Nossa Senhora dos Remédios,2206803,0,0
Novo Oriente do Piauí,2206902,0,0
Novo Santo Antônio,2206951,0,0
Oeiras,2207009,10,0
Olho D'Água do Piauí,2207108,0,0
Padre Marcos,2207207,0,0
Paes Landim,2207306,0,0
Pajeú do Piauí,2207355,0,0
Palmeira do Piauí,2207405,0,0
Palmeirais,2207504,1,0
Paquetá,2207553,0,0
Parnaguá,2207603,0,0
Parnaíba,2207702,64,3
Passagem Franca do Piauí,2207751,0,0
Patos do Piauí,2207777,0,0
Pau D'Arco do Piauí,2207793,0,0
Paulistana,2207801,0,0
Pavussu,2207850,0,0
Pedro II,2207900,6,1
Pedro Laurentino,2207934,0,0
Nova Santa Rita,2207959,0,0
Picos,2208007,40,1
Pimenteiras,2208106,1,0
Pio IX,2208205,3,0
Piracuruca,2208304,8,2
Piripiri,2208403,19,0
Porto,2208502,1,0
Porto Alegre do Piauí,2208551,0,0
Prata do Piauí,2208601,0,0
Queimada Nova,2208650,1,0
Redenção do Gurguéia,2208700,0,0
Regeneração,2208809,1,0
Riacho Frio,2208858,0,0
Ribeira do Piauí,2208874,1,0
Ribeiro Gonçalves,2208908,0,0
Rio Grande do Piauí,2209005,2,0
Santa Cruz do Piauí,2209104,0,0
Santa Cruz dos Milagres,2209153,0,0
Santa Filomena,2209203,0,0
Santa Luz,2209302,1,1
Santana do Piauí,2209351,0,0
Santa Rosa do Piauí,2209377,0,0
Santo Antônio de Lisboa,2209401,0,0
Santo Antônio dos Milagres,2209450,0,0
Santo Inácio do Piauí,2209500,0,0
São Braz do Piauí,2209559,0,0
São Félix do Piauí,2209609,0,0
São Francisco de Assis do Piauí,2209658,0,0
São Francisco do Piauí,2209708,1,1
São Gonçalo do Gurguéia,2209757,0,0
São Gonçalo do Piauí,2209807,1,0
São João da Canabrava,2209856,0,0
São João da Fronteira,2209872,0,0
São João da Serra,2209906,0,0
São João da Varjota,2209955,0,0
São João do Arraial,2209971,0,0
São João do Piauí,2210003,2,0
São José do Divino,2210052,3,1
São José do Peixe,2210102,1,0
São José do Piauí,2210201,1,0
São Julião,2210300,1,0
São Lourenço do Piauí,2210359,1,0
São Luis do Piauí,2210375,1,0
São Miguel da Baixa Grande,2210383,1,0
São Miguel do Fidalgo,2210391,0,0
São Miguel do Tapuio,2210409,0,0
São Pedro do Piauí,2210508,1,0
São Raimundo Nonato,2210607,30,0
Sebastião Barros,2210623,0,0
Sebastião Leal,2210631,0,0
Sigefredo Pacheco,2210656,0,0
Simões,2210706,0,0
Simplício Mendes,2210805,0,0
Socorro do Piauí,2210904,0,0
Sussuapara,2210938,0,0
Tamboril do Piauí,2210953,0,0
Tanque do Piauí,2210979,0,0
Teresina,2211001,697,18
União,2211100,21,0
Uruçuí,2211209,9,0
Valença do Piauí,2211308,1,0
Várzea Branca,2211357,0,0
Várzea Grande,2211407,1,0
Vera Mendes,2211506,0,0
Vila Nova do Piauí,2211605,2,0
Wall Ferraz,2211704,0,0
